fecha,cre_id,precio_xml,precio_api,diferencia,subproducto
2026-09-19,PL/2938/EXP/ES/2015,25.39,26.49,+1.10,Diésel
2026-09-19,PL/3099/EXP/ES/2015,26.98,26.97,-0.01,Diésel
