fecha,cre_id,precio_xml,precio_api,diferencia,subproducto
2026-09-02,PL/13682/EXP/ES/2016,27.00,27.75,+0.75,Diésel
2026-09-02,PL/9491/EXP/ES/2015,26.36,25.99,-0.37,Diésel
